Country Name,Country Code,"Mortality rate, infant (per 1,000 live births) [SP.DYN.IMRT.IN]",CO2 emissions (kt) [EN.ATM.CO2E.KT],GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],Forest area (sq. km) [AG.LND.FRST.K2],Voice and Accountability: Percentile Rank [VA.PER.RNK]
Afghanistan,AFG,53,10057.59,566.881132665072,12084.4,18.7192115783691
Albania,ALB,8.5,4797,3952.80357364813,7891.875,52.709358215332
Algeria,DZA,21.7,156273,4197.41998491398,19560,24.630542755127
American Samoa,ASM,NaN,NaN,13101.5418159165,172.8,NaN
Andorra,AND,3.3,465.328,38885.5485894753,160,88.1773376464844
Angola,AGO,57.9,31648.9,3217.33924430561,693826.9,15.2709360122681
Antigua and Barbuda,ATG,6.5,490.2,15985.5411386971,84.5,68.4729080200195
Argentina,ARG,10.3,185550,13789.060424772,290970,60.0985221862793
Armenia,ARM,12.9,5343.4,3666.14182210905,3295.2,29.5566501617432
Aruba,ABW,NaN,NaN,28419.2645344661,4.2,91.625617980957
Australia,AUS,3.3,385782.4,56758.8692027821,1330945,93.1034469604492
Austria,AUT,3,63254.7,44195.8175947748,38811.9,94.0886688232422
Azerbaijan,AZE,23.3,31773.3,5500.50364628486,10778.87,6.89655160903931
"Bahamas, The",BHS,12,2207.4,29724.9533355233,5098.6,75.8620681762695
Bahrain,BHR,6.4,30492.4,22795.4488576612,6,11.822660446167
Bangladesh,BGD,31,73156.9,1236.00439239816,18834,30.5418720245361
Barbados,BRB,13,1269.57,17023.6943646321,63,83.7438430786133
Belarus,BLR,3.1,54871.3,5967.06856034227,86335,8.3743839263916
Belgium,BEL,3.4,95096,41008.296719472,6893,94.5812835693359
Belize,BLZ,13.2,675.1,6098.60007958976,13328.3,66.9950714111328
Benin,BEN,63.3,5505.6,1041.65252315983,33851.5,58.6206893920898
Bermuda,BMU,NaN,NaN,102005.62564189,10,NaN
Bhutan,BTN,27.4,1042.1,2695.63692363803,27151.8,46.305419921875
Bolivia,BOL,25.6,20002.9,2975.64881143063,520272.2,46.7980308532715
